"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
320.16,6066,87.425,14.239,133.27
327.38,6696,87.22,14.183,133.13
323.01,6698,87.331,14.346,133.05
329.22,6709,87.031,14.109,133.01
325.87,6710,87.124,14.259,132.93
324.36,6711,87.218,14.423,132.84
326.04,6712,87.304,14.595,132.73
336.43,7360,86.919,14.131,132.85
329.59,7361,87.009,14.314,132.73
333.34,7362,86.846,14.188,132.69
325.63,7363,87.101,14.486,132.63
326.73,7364,87.173,14.651,132.52
329.34,7380,86.823,14.253,132.58
325.01,7381,86.908,14.387,132.52
326.05,7382,86.983,14.543,132.42
327.72,7383,87.038,14.712,132.29
331.68,7384,87.13,14.865,132.23
342.33,7964,88.537,16.961,131.6
357.29,7981,88.5,16.733,131.75
357.09,7996,88.421,16.606,131.79
354.39,7997,88.243,16.496,131.75
335.63,8097,86.777,14.098,132.72
322.77,8110,86.705,14.253,132.42
322.47,8111,86.79,14.424,132.32
322.27,8112,86.642,14.309,132.26
328.23,8113,86.853,14.569,132.22
330.75,8114,86.881,14.66,132.15
328.7,8115,86.9,14.737,132.09
325.95,8116,86.982,14.859,132.05
332.66,8117,87.085,14.974,132.05
323.43,8127,86.629,14.377,132.15
330.33,8128,86.692,14.491,132.1
334.07,8129,86.736,14.636,131.98
343.32,8763,88.237,17.071,131.3
352.43,8764,88.381,16.895,131.54
334.46,8777,87.895,17.227,130.93
344.72,8778,88.031,17.058,131.16
353.58,8779,88.186,16.854,131.43
354.09,8780,88.109,16.72,131.47
354.06,8781,88.218,16.65,131.61
349.69,8794,88.031,16.596,131.5
348.61,8795,88.046,16.417,131.66
328.68,8941,86.564,14.212,132.28
0,8942,86.453,14.154,132.19
329.49,8943,86.824,14.776,131.94
331.58,8944,86.863,14.889,131.86
327.28,8945,86.989,15.035,131.86
337.87,8962,86.488,14.259,132.1
351.6,8963,86.517,14.374,131.99
359.11,8964,86.571,14.501,131.91
4.1435,8965,86.604,14.623,131.81
342.82,8966,86.692,14.776,131.75
338.13,9551,87.802,17.143,130.91
345.61,9552,87.918,16.924,131.16
341.22,9553,87.738,17.01,130.95
353.46,9554,87.998,16.773,131.34
344.88,9571,87.725,16.889,131.02
350.96,9572,87.827,16.72,131.24
352.1,9573,87.768,16.573,131.3
349.9,9574,87.883,16.489,131.46
347.39,9597,87.695,16.445,131.33
343.75,9598,87.604,16.339,131.33
323.76,9698,87.008,15.188,131.72
322.47,9699,86.977,15.317,131.54
325.93,9720,86.809,14.961,131.7
325.58,9721,86.725,15.029,131.51
322.66,9722,86.882,15.121,131.63
341.73,9740,86.334,14.131,132.03
355.77,9741,86.355,14.242,131.92
14.942,9742,86.4,14.37,131.82
9.9428,9743,86.462,14.511,131.74
358.34,9744,86.521,14.654,131.65
349.01,9745,86.541,14.782,131.52
326.81,9746,86.668,14.891,131.58
333.77,10313,87.599,17.238,130.66
336.75,10314,87.662,17.108,130.81
323.03,10334,87.314,17.313,130.34
328.7,10335,87.45,17.217,130.54
333.95,10336,87.536,17.024,130.75
342.96,10337,87.597,16.816,130.96
349.1,10338,87.657,16.634,131.15
343.76,10339,87.547,16.687,131.01
344.49,10357,87.486,16.563,131.04
342.83,10358,87.41,16.444,131.05
343.58,10359,87.509,16.394,131.19
343.59,10376,87.338,16.32,131.07
319.74,10424,86.944,15.451,131.36
319.34,10443,86.817,15.33,131.31
322.47,10461,86.105,13.861,132.04
327.59,10462,86.198,13.992,132
323.15,10463,86.622,15.064,131.32
320.13,10464,86.79,15.185,131.43
350.48,10480,86.2,14.098,131.86
14.36,10481,86.221,14.222,131.72
34.043,10482,86.315,14.397,131.65
34.103,10483,86.21,14.298,131.6
11.284,10484,86.371,14.533,131.56
352.42,10485,86.408,14.647,131.48
336.85,10486,86.42,14.73,131.39
322.91,10487,86.409,14.809,131.28
323.17,10488,86.567,14.919,131.4
41.622,10504,86.192,14.347,131.5
11.413,10505,86.236,14.442,131.45
329.18,10506,86.272,14.551,131.37
323.52,10507,86.311,14.666,131.29
296.28,10955,87.286,19.514,128.8
297.1,10956,87.288,19.338,128.94
297.41,10957,87.212,19.474,128.78
294.01,10958,87.382,19.436,128.93
300.65,10965,87.131,19.429,128.76
291.32,10966,87.46,19.268,129.11
325.17,11099,87.14,17.413,130.1
326.52,11100,87.184,17.246,130.26
328.31,11101,87.328,17.102,130.5
330.52,11102,87.396,16.888,130.71
329.07,11103,87.254,16.954,130.52
343.12,11104,87.445,16.734,130.87
329.83,11122,87.222,16.834,130.57
338.12,11123,87.288,16.685,130.74
334.5,11124,87.214,16.548,130.77
338.57,11125,87.313,16.498,130.91
335.79,11141,87.15,16.412,130.79
347.2,11142,87.091,16.279,130.83
349.05,11143,87.184,16.239,130.97
349.26,11157,87.037,16.146,130.87
337.82,11158,86.946,16.006,130.87
346.65,11172,85.599,12.916,132.65
344.99,11187,85.681,13.034,132.6
346.14,11188,85.68,13.13,132.43
352.89,11189,85.827,13.273,132.46
350.3,11190,86.825,15.612,131.05
306.93,11191,86.827,15.483,131.17
355.54,11201,85.826,13.368,132.3
352.63,11202,85.85,13.462,132.19
315.08,11204,86.686,15.349,131.11
332.01,11216,85.956,13.708,132
323.92,11217,85.973,13.803,131.89
328.62,11218,86.059,13.944,131.83
323.28,11219,86.507,15.084,131.12
318.12,11220,86.664,15.206,131.23
349.72,11238,86.058,14.047,131.68
11.167,11239,86.065,14.131,131.57
13.452,11240,86.105,14.239,131.5
323.14,11241,86.303,14.835,131.08
323.43,11242,86.461,14.947,131.2
13.575,11261,86.101,14.336,131.36
354.93,11262,86.135,14.448,131.27
326.36,11263,86.176,14.568,131.19
324.05,11264,86.239,14.702,131.13
288.43,11738,87.15,19.929,128.37
289.17,11739,87.073,19.787,128.44
289.42,11740,87.012,19.908,128.3
288,11741,87.341,19.831,128.58
290.2,11742,87.224,19.756,128.56
286.89,11743,87.513,19.739,128.76
288.95,11744,87.375,19.629,128.77
285.49,11745,87.686,19.68,128.91
285.83,11746,87.578,19.552,128.96
285.43,11747,87.707,19.557,129.03
296.98,11754,86.976,19.699,128.44
296.41,11755,86.897,19.866,128.25
297.75,11756,87.155,19.618,128.63
290.7,11757,87.488,19.45,128.98
285.92,11758,87.771,19.425,129.18
286.27,11759,87.622,19.351,129.15
303.61,11782,86.88,19.615,128.43
303.34,11783,86.81,19.769,128.26
303.74,11784,87.009,19.531,128.59
313.82,11796,86.747,19.631,128.31
322.6,11889,86.938,17.472,129.85
324.91,11890,87.014,17.298,130.04
326.65,11891,87.114,17.121,130.26
326.25,11892,86.995,17.163,130.11
327.38,11893,87.191,17.032,130.4
326.58,11910,86.963,17.039,130.15
