"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
74.094,0,99.523,16.235,134.11
69.97,1,99.746,16.167,134.14
68.346,2,99.858,15.958,134.16
67.375,3,100.08,15.934,134.18
82.091,4,100.23,15.749,134.2
86.414,5,100.37,15.569,134.21
88.982,6,100.58,15.537,134.23
97.986,7,100.7,15.347,134.24
78.958,12,99.346,16.1,134.1
78.385,13,99.605,15.978,134.13
78.314,14,99.77,15.756,134.14
78.577,15,99.996,15.742,134.17
78.952,16,100.16,15.569,134.18
69.736,17,97.544,16.031,133.92
81.297,18,100.33,15.392,134.19
87.266,19,100.51,15.376,134.21
78.087,20,97.371,15.916,133.91
105.77,21,100.65,15.186,134.21
57.743,27,98.368,16.529,133.98
68.496,28,98.47,16.336,134
71.001,29,98.671,16.332,134.02
73.396,30,98.873,16.336,134.04
79.835,31,99.115,16.195,134.07
76.016,32,98.969,16.086,134.06
68.409,33,98.199,16.374,133.97
70.606,34,98.382,16.078,133.99
69.877,35,98.623,16.105,134.02
79.005,36,99.16,15.931,134.08
78.728,37,99.346,15.796,134.09
78.766,38,99.406,15.917,134.1
68.939,39,98.162,16.136,133.97
67.976,40,97.948,16.305,133.95
78.69,41,99.534,15.72,134.11
78.69,42,99.695,15.58,134.12
78.69,43,99.936,15.509,134.15
68.958,44,97.839,16.159,133.95
68.944,45,97.678,16.127,133.94
70.421,46,97.859,15.961,133.95
78.713,47,100.15,15.394,134.17
75.287,48,97.678,15.845,133.93
79.112,49,100.28,15.217,134.17
82.379,50,100.47,15.198,134.19
75.597,51,97.487,15.784,133.92
74.384,52,97.349,15.655,133.9
87.997,53,100.62,14.994,134.19
71.219,54,97.269,15.47,133.88
70.574,55,97.099,15.48,133.86
70.889,56,97.149,15.343,133.85
70.422,57,97.073,15.214,133.83
74.125,64,98.798,16.139,134.04
77.123,65,98.463,15.797,134
77.17,66,98.618,15.896,134.01
75.499,67,98.865,15.877,134.04
78.609,68,99.086,15.748,134.06
78.676,69,99.312,15.631,134.08
69.092,70,98.015,16.066,133.96
72.861,71,98.203,15.848,133.97
78.69,72,99.51,15.442,134.09
78.69,73,99.756,15.429,134.12
78.69,74,99.707,15.318,134.1
75.575,75,97.953,15.778,133.95
78.69,76,99.894,15.253,134.12
78.5,77,100.08,15.251,134.14
75.737,78,97.817,15.646,133.94
75.627,79,97.596,15.696,133.92
75.168,80,97.607,15.565,133.91
78.175,81,100.24,15.049,134.14
75.161,82,100.43,15.027,134.16
71.862,83,97.515,15.436,133.89
75.955,84,100.56,14.84,134.15
79.649,85,100.75,14.775,134.17
71.559,86,97.389,15.34,133.87
71.554,87,97.302,15.194,133.85
71.565,88,97.181,15.006,133.81
71.438,89,96.966,15.097,133.8
71.678,90,96.989,14.931,133.78
74.068,91,96.825,14.884,133.76
74.881,92,96.821,14.713,133.72
73.446,93,96.712,14.597,133.69
77.74,103,98.725,15.641,134.01
78.273,104,98.98,15.597,134.03
78.68,105,99.16,15.576,134.05
76.771,106,98.738,15.398,133.99
76.426,107,98.456,15.547,133.98
78.603,108,98.97,15.381,134.01
78.688,109,99.246,15.364,134.04
78.69,110,99.478,15.217,134.05
78.69,111,99.695,15.162,134.08
74.848,112,98.137,15.598,133.96
78.69,113,99.915,15.04,134.09
78.444,114,100.07,15.044,134.11
74.564,115,97.923,15.531,133.94
73.604,116,97.766,15.424,133.92
78.089,117,100.23,14.863,134.11
75.13,118,100.39,14.85,134.13
72.003,119,97.689,15.246,133.89
71.665,120,97.499,15.245,133.87
71.706,121,97.542,15.068,133.85
75.586,122,100.52,14.686,134.12
84.3,123,100.69,14.654,134.13
71.565,124,97.382,14.993,133.82
84.404,125,100.78,14.508,134.11
73.972,126,100.91,14.341,134.09
71.565,127,97.356,14.816,133.79
71.7,128,97.174,14.785,133.77
73.704,129,97.001,14.736,133.74
73.863,130,96.996,14.541,133.7
71.286,131,96.851,14.511,133.68
44.486,132,96.748,14.383,133.64
27.173,133,96.513,14.185,133.57
74.947,147,98.468,15.305,133.96
75.291,148,98.685,15.202,133.96
78.052,149,98.923,15.153,133.97
78.69,150,99.152,15.131,134
78.658,151,99.374,15.066,134.01
78.69,152,99.837,14.929,134.06
78.684,153,99.604,14.982,134.03
78.683,154,99.764,14.837,134.03
71.572,155,98.287,15.39,133.95
78.555,156,100.09,14.798,134.07
78.683,157,99.914,14.705,134.03
78.473,158,100.07,14.636,134.03
72.143,159,97.971,15.421,133.93
71.586,160,98.106,15.372,133.94
75.016,161,100.37,14.632,134.08
75.402,162,100.23,14.529,134.03
75.791,163,100.39,14.457,134.04
71.621,164,97.935,15.226,133.91
71.671,165,97.698,15.074,133.87
71.632,166,97.833,15.078,133.88
88.535,167,100.63,14.489,134.09
88.877,168,100.56,14.348,134.04
89.81,169,100.75,14.294,134.05
71.565,170,97.752,14.904,133.84
71.565,171,97.551,14.855,133.81
77.255,172,100.93,14.142,134.04
71.565,173,97.523,14.652,133.77
71.706,174,97.342,14.611,133.74
73.571,175,97.167,14.573,133.72
73.62,176,97.145,14.368,133.67
73.464,177,96.961,14.341,133.64
74.395,178,96.903,14.155,133.59
58.738,179,96.707,14.215,133.59
74.797,180,96.73,14.058,133.55
31.378,181,102.27,13.194,133.86
76.072,182,96.567,13.994,133.52
76.688,186,96.42,13.956,133.5
76.759,187,96.371,13.807,133.44
76.68,189,96.255,13.758,133.42
68.431,191,96.133,13.701,133.39
66.382,195,95.993,13.641,133.36
18.646,196,95.877,13.646,133.35
59.81,197,95.923,13.509,133.3
59.106,199,95.733,13.499,133.28
59.517,202,95.575,13.49,133.27
59.226,204,95.441,13.553,133.28
74.385,214,98.546,15.122,133.94
73.548,215,98.682,14.92,133.92
74.622,216,98.885,14.922,133.93
75.157,217,99.101,14.893,133.95
76.913,218,99.311,14.855,133.97
78.348,219,99.516,14.802,133.98
78.265,220,99.713,14.725,134
72.643,221,98.496,14.996,133.92
71.578,222,98.353,15.165,133.93
78.333,223,99.867,14.521,133.97
78.25,224,100.05,14.493,134
71.565,225,98.171,15.209,133.92
76.132,226,100.22,14.317,133.97
76.182,227,100.39,14.305,134
71.584,228,98.077,15.089,133.9
71.603,229,97.996,14.938,133.87
80.914,230,100.57,14.128,133.98
81.707,231,100.75,14.127,134
71.565,232,97.894,14.739,133.82
71.565,233,97.71,14.695,133.79
76.49,234,100.93,13.942,133.97
75.889,235,101.07,13.981,134.01
71.565,236,97.679,14.487,133.74
71.683,237,97.502,14.441,133.71
73.789,238,97.326,14.4,133.69
73.914,239,97.3,14.197,133.63
73.708,240,97.113,14.167,133.6
43.975,241,102.05,13.213,133.85
74.597,242,97.09,13.973,133.54
74.882,243,96.916,13.942,133.52
31.681,244,102.23,13.04,133.79
74.862,245,96.763,13.869,133.49
73.819,248,96.513,13.842,133.46
69.515,249,96.65,13.797,133.45
69.032,251,96.551,13.676,133.4
68.062,252,96.373,13.631,133.38
64.599,256,96.304,13.492,133.32
66.402,257,96.108,13.549,133.33
63.908,258,96.141,13.418,133.28
62.435,260,96.012,13.383,133.25
61.429,262,95.881,13.337,133.23
59.111,265,95.66,13.353,133.22
59.036,267,95.318,13.522,133.26
59.036,268,95.465,13.387,133.21
59.036,271,95.297,13.42,133.22
57.337,272,95.13,13.534,133.25
38.09,275,94.78,13.643,133.25
71.435,279,98.655,14.736,133.88
71.462,280,98.874,14.668,133.88
71.508,281,99.074,14.652,133.89
75.123,282,99.277,14.622,133.91
77.676,283,99.476,14.587,133.93
77.155,284,99.67,14.548,133.95
71.572,285,98.376,14.993,133.91
71.52,286,98.453,14.823,133.88
76.906,287,99.841,14.331,133.92
77.313,288,100.03,14.317,133.94
71.566,289,98.229,14.989,133.89
71.566,290,98.223,14.801,133.86
76.425,291,100.21,14.127,133.92
74.811,292,100.39,14.119,133.94
71.57,293,98.072,14.732,133.83
73.557,294,100.57,13.924,133.91
71.771,295,100.75,13.932,133.94
71.567,296,98.02,14.57,133.79
71.568,297,97.861,14.524,133.77
70.749,298,100.92,13.769,133.91
67.361,299,101.12,13.74,133.93
71.566,300,97.833,14.328,133.71
71.657,301,97.657,14.273,133.68
59.468,302,101.3,13.551,133.89
55.003,303,101.49,13.424,133.87
73.741,304,97.492,14.222,133.65
44.985,305,101.64,13.288,133.83
73.94,306,97.454,14.034,133.59
73.682,307,97.283,13.987,133.56
44.82,308,101.82,13.19,133.81
42.971,309,102.01,13.051,133.77
74.31,310,97.256,13.79,133.49
74.47,311,97.077,13.77,133.47
34.191,312,102.23,12.863,133.71
31.729,313,102.39,12.871,133.74
31.708,314,102.45,12.737,133.68
72.011,315,96.918,13.754,133.45
61.278,317,96.802,13.644,133.4
60.585,321,96.659,13.574,133.37
59.212,322,96.55,13.471,133.32
58.812,324,96.459,13.341,133.26
58.642,325,96.291,13.299,133.23
58.961,327,96.116,13.268,133.21
59.035,331,96.047,13.151,133.15
60.508,332,95.899,13.206,133.17
59.045,333,95.918,13.09,133.12
59.066,335,95.755,13.229,133.17
58.993,336,95.785,13.102,133.11
58.956,340,95.679,13.156,133.13
58.849,341,95.535,13.212,133.14
59.509,343,95.194,13.392,133.19
59.844,344,95.345,13.276,133.16
54.623,347,94.931,13.525,133.22
62.397,348,95.193,13.305,133.16
69.358,349,95.045,13.371,133.17
81.712,352,93.523,13.686,133.08
81.014,353,93.633,13.793,133.13
76.247,354,93.87,13.791,133.17
68.208,355,94.106,13.74,133.19
53.205,356,94.3,13.705,133.21
40.641,357,94.473,13.664,133.22
71,358,94.64,13.61,133.22
72.72,359,94.895,13.427,133.18
78.404,360,94.74,13.484,133.18
81.646,364,93.664,13.585,133.07
80.586,365,93.829,13.625,133.1
78.613,366,94.02,13.623,133.13
74.321,367,94.218,13.598,133.16
