"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
98.735,0,50.633,6.0512,141.17
97.773,1,50.389,6.0445,141.14
101.38,2,50.904,6.1584,141.28
97.268,3,50.597,5.7187,140.86
96.506,4,50.397,5.8152,140.94
97.194,5,50.297,5.7138,140.84
103.12,6,50.899,5.8471,141
101.4,7,50.632,5.8969,141.03
108.41,8,51.177,5.9602,141.12
105.98,9,50.916,6.0069,141.15
106.32,10,51.426,6.031,141.2
105.61,11,51.223,6.1233,141.27
105.94,12,51.538,6.1161,141.28
97.083,13,50.077,5.6354,140.75
96.237,14,50.103,5.7944,140.89
96.426,15,49.951,5.6926,140.79
96.67,16,50.297,5.9313,141.03
104.64,17,51.527,6.2134,141.37
95.416,18,49.897,5.8986,140.95
96.868,19,49.798,5.7406,140.81
110.72,20,50.903,5.5325,140.68
109.04,21,50.714,5.6147,140.77
110.72,22,50.67,5.5273,140.68
112.76,23,51.136,5.6288,140.78
111.33,24,50.935,5.7052,140.86
113.5,25,51.206,5.7175,140.88
109.15,26,50.445,5.5232,140.66
103.13,27,50.29,5.6043,140.74
105.2,28,50.216,5.5059,140.64
114.35,29,51.212,5.8322,141
111.46,30,51.494,5.9327,141.1
107.44,31,51.774,6.1775,141.35
108.73,32,51.75,6.044,141.22
109.14,33,51.951,6.1292,141.3
98.082,34,49.979,5.4835,140.59
95.942,35,49.823,5.5947,140.68
94.971,36,49.774,5.4907,140.58
109.33,37,52.055,6.253,141.43
95.708,38,49.597,5.623,140.68
92.088,39,49.587,5.4997,140.57
121.77,43,50.773,5.3643,140.5
118.11,44,50.61,5.442,140.58
120.43,45,50.548,5.3574,140.49
122,46,51.035,5.4428,140.58
120.46,47,51.233,5.5486,140.69
115.49,48,51.369,5.7625,140.93
118.63,49,51.46,5.6716,140.82
116.67,50,51.73,5.7485,140.9
115.19,51,51.56,5.825,140.99
115.68,52,51.819,5.8319,140.99
114.65,53,50.322,5.3469,140.47
106.85,54,50.153,5.4135,140.54
108.15,55,50.092,5.3195,140.44
114.82,56,51.835,5.9412,141.11
110.19,57,52.122,6.1574,141.33
114.68,58,52.14,6.0525,141.22
115.04,59,52.5,6.1287,141.29
111.23,60,52.315,6.198,141.37
118.21,61,52.82,6.1998,141.35
109.23,62,52.594,6.2628,141.43
120.56,63,53.123,6.266,141.4
124.39,64,53.38,6.3111,141.43
98.702,65,49.868,5.3055,140.4
94.471,66,49.693,5.3904,140.48
96.17,67,49.653,5.2875,140.37
119.8,94,50.604,5.2,140.31
119.24,95,50.483,5.2771,140.4
118.82,96,50.416,5.1963,140.31
121.82,97,50.811,5.2651,140.38
123.28,98,51.033,5.3281,140.44
122.31,99,51.288,5.4466,140.57
121.28,100,51.525,5.5591,140.69
120.06,101,51.783,5.6623,140.79
115.6,102,51.978,5.873,141.03
118.67,103,52.064,5.7866,140.92
110.8,104,52.383,5.8797,141.01
113.36,105,52.159,5.9307,141.08
106.32,106,52.681,5.9586,141.07
111.06,107,52.433,6.0068,141.15
116.6,108,52.973,6.0264,141.13
118.09,109,52.746,6.0785,141.21
124.57,110,53.235,6.0716,141.15
124.42,111,53.069,6.1469,141.27
125.14,112,53.344,6.1365,141.22
115.15,113,50.219,5.1845,140.29
110.2,114,50.035,5.2222,140.32
113.48,115,49.962,5.0867,140.17
125.87,116,53.398,6.2246,141.33
129.74,117,53.659,6.3056,141.4
109.53,123,49.784,5.138,140.22
107.43,124,49.578,5.1806,140.25
108.16,125,49.562,5.0565,140.11
124.65,159,51.3,5.2266,140.3
124.07,160,51.187,5.2852,140.38
123.56,161,51.059,5.2273,140.32
123.66,162,51.559,5.3393,140.42
123.16,163,51.337,5.3531,140.45
122.67,164,51.793,5.4323,140.51
122.36,165,51.559,5.4516,140.56
121.99,166,52.011,5.5008,140.57
121.6,167,51.812,5.5529,140.66
121.74,168,52.071,5.5732,140.66
118.26,169,50.422,5.0478,140.12
118.14,170,50.359,5.1223,140.22
118.41,171,50.172,5.0331,140.11
119.22,172,50.614,5.1008,140.18
122.38,173,50.822,5.1644,140.25
121.39,174,52.081,5.6712,140.78
121.91,175,52.358,5.7654,140.87
121.78,176,52.648,5.8462,140.94
122.97,177,52.942,5.9207,141
124.52,178,53.248,5.9904,141.04
127.13,179,53.53,6.1648,141.23
131.63,180,53.56,6.0812,141.12
131.88,181,53.859,6.1341,141.14
130.62,182,53.756,6.2168,141.27
134.96,183,54.025,6.197,141.2
120.16,192,49.927,4.9801,140.04
150.52,193,53.974,6.3305,141.38
151.06,194,54.077,6.2683,141.29
168.19,195,54.186,6.3335,141.35
119.4,199,49.669,4.9635,140.01
113.33,243,51.113,5.0721,140.11
117.93,244,51.044,5.1504,140.22
109.8,245,50.867,5.0739,140.13
122.72,246,51.367,5.1549,140.19
122.17,247,51.579,5.2477,140.29
121.38,248,51.819,5.334,140.38
122.74,249,52.066,5.4269,140.47
121.93,250,52.221,5.6119,140.69
124.19,251,52.314,5.5378,140.58
126.23,252,52.605,5.627,140.65
123.38,253,52.388,5.6641,140.73
128.14,254,52.881,5.7091,140.72
125.22,255,52.635,5.7392,140.8
129.7,256,53.158,5.786,140.78
125.87,257,52.911,5.8156,140.86
131.22,258,53.43,5.858,140.83
127.27,259,53.204,5.8909,140.92
140.76,260,53.67,5.9075,140.86
139.24,261,53.523,5.9711,140.97
142.97,262,53.792,5.9711,140.92
117.38,263,50.039,4.9093,139.95
113.85,264,50.289,4.9178,139.96
106.74,265,50.593,4.9924,140.04
146.84,266,53.865,6.0562,141.03
152.88,267,54.277,6.2398,141.21
155.48,268,54.177,6.1414,141.09
163.49,269,54.419,6.2058,141.13
117.5,278,49.873,4.8077,139.83
119.45,279,49.797,4.8871,139.92
112.14,280,49.73,4.8062,139.82
171.52,281,54.376,6.3288,141.31
169.67,282,54.564,6.2981,141.23
102.46,289,49.566,4.7909,139.79
102.45,290,49.405,4.8208,139.82
97.917,291,49.341,4.6761,139.63
85.992,332,50.927,4.924,139.93
99.402,333,50.845,4.9951,140.03
90.086,334,50.679,4.9134,139.93
101.91,335,51.186,4.995,140
120.21,336,51.369,5.0723,140.08
120.22,337,51.561,5.1623,140.18
119.19,338,51.816,5.2285,140.23
123.22,339,52.076,5.3326,140.33
127.71,340,52.329,5.4312,140.43
131.02,341,52.584,5.5218,140.51
134.08,342,52.856,5.6064,140.58
138.08,343,53.134,5.6867,140.64
141.16,344,53.414,5.7637,140.7
145.83,345,53.693,5.8366,140.74
149.18,346,54,6.002,140.92
150.77,347,53.949,5.9148,140.8
155.17,348,54.147,5.9793,140.86
114.7,365,50.203,4.7793,139.78
116.5,366,50.044,4.8027,139.82
114.59,367,49.987,4.6861,139.66
95.102,368,50.431,4.8284,139.83
157.26,369,54.236,6.07,140.97
170.19,370,54.606,6.2329,141.13
167.19,371,54.553,6.1505,141.01
100.52,383,49.804,4.6927,139.67
101.27,384,49.692,4.736,139.73
98.444,385,49.548,4.642,139.6
84.414,394,49.316,4.5691,139.49
109.97,457,52.046,5.1349,140.05
113.23,458,51.951,5.1874,140.15
114.14,459,51.819,5.1315,140.09
106.99,460,52.326,5.2352,140.14
117.64,461,52.11,5.2482,140.21
108.26,462,52.58,5.3194,140.21
122.89,463,52.34,5.3338,140.29
119.83,464,52.832,5.4089,140.29
128.27,465,52.585,5.4207,140.36
130.49,466,53.086,5.4926,140.36
133.18,467,52.84,5.5067,140.44
133.59,468,53.336,5.5687,140.42
136.65,469,53.107,5.5893,140.5
136.54,470,53.564,5.6228,140.45
138.12,471,53.393,5.6694,140.56
138.67,472,53.649,5.6816,140.52
93.304,476,50.776,4.7899,139.75
93.111,477,50.657,4.8305,139.82
94.633,478,50.495,4.716,139.67
96.752,479,51.001,4.8483,139.81
106.62,480,51.159,4.9172,139.89
117.94,481,51.408,4.982,139.94
117.43,482,51.61,5.0964,140.08
140.82,483,53.698,5.759,140.62
144.67,484,53.994,5.8411,140.68
