"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
104.1,40,58.386,8.1218,141.93
104.73,41,58.177,8.1085,142.01
112.53,42,58.641,8.2608,141.91
120.66,68,59.04,8.0265,141.57
120.73,69,58.913,8.1295,141.71
118.02,70,58.825,8.0294,141.67
104.78,71,58.508,7.9074,141.72
104.67,72,58.427,8.0089,141.84
105.55,73,58.342,7.9134,141.8
110.74,74,58.679,7.9835,141.7
112.05,75,58.652,8.1053,141.8
125.53,76,58.896,8.2532,141.79
108.85,77,58.173,7.9194,141.87
107.92,78,58.091,8.0137,141.98
109.49,79,57.995,7.9157,141.95
109.86,80,57.811,7.9131,142.02
109.31,81,57.704,7.9983,142.12
110.23,82,57.622,7.9067,142.09
110.2,83,57.427,7.9011,142.15
109.49,84,57.233,7.8837,142.21
118.92,85,55.905,7.3731,142.17
112.34,86,56.155,7.4636,142.19
110.39,87,56.4,7.5625,142.21
108.23,88,56.188,7.5796,142.28
108.57,89,56.639,7.6696,142.23
107.73,90,56.422,7.6825,142.3
108.69,91,56.872,7.7831,142.25
108.03,92,56.65,7.7943,142.32
108.61,93,57.079,7.8997,142.27
118.81,118,59.28,7.8668,141.32
118.53,119,59.123,7.9309,141.45
117.91,120,59.096,7.8537,141.4
120.18,121,59.491,7.9843,141.31
119.71,122,59.293,8.0187,141.44
109.25,126,58.673,7.7481,141.51
108.17,127,58.568,7.8183,141.62
109.24,128,58.505,7.7371,141.58
115.24,129,58.904,7.8321,141.47
111.55,130,58.768,7.9022,141.6
111.7,131,58.34,7.7377,141.66
110.5,132,58.252,7.8225,141.77
112.28,133,58.167,7.7306,141.73
113.53,134,57.994,7.7332,141.8
111.83,135,57.9,7.8218,141.91
113.77,136,57.81,7.7312,141.87
140.98,137,55.505,7.0096,141.91
136.5,138,55.608,7.0739,141.95
113.97,139,57.616,7.7266,141.94
112.07,140,57.543,7.8192,142.05
113.93,141,57.436,7.7249,142.01
127.28,142,55.602,7.189,142.07
134.74,143,55.769,7.1511,141.99
129.28,144,56.048,7.2348,142
124.29,145,55.845,7.2652,142.09
124.14,146,56.313,7.3254,142.02
118.91,147,56.108,7.3492,142.1
119.29,148,56.568,7.424,142.04
115.94,149,56.362,7.4439,142.12
114.17,150,56.817,7.5301,142.06
112.8,151,56.61,7.5472,142.13
113.94,152,57.068,7.6398,142.07
112.43,153,56.858,7.6581,142.15
113.74,154,57.295,7.75,142.08
110.13,155,57.107,7.776,142.16
101.18,156,63.155,9.4869,139.7
109.6,157,62.996,9.3939,139.8
118.14,158,62.871,9.3025,139.88
125.32,184,59.463,7.704,141.07
124.75,185,59.332,7.7713,141.21
124.52,186,59.282,7.6931,141.16
123.25,187,59.678,7.83,141.08
122.27,188,59.498,7.8549,141.2
121.43,189,59.873,7.9372,141.07
121.21,190,59.692,7.964,141.19
121.29,191,60.045,8.0163,141.04
120.88,196,59.114,7.6917,141.24
117.58,197,59.073,7.7849,141.35
119.17,198,58.938,7.7166,141.35
171.86,200,54.731,6.5419,141.52
119.1,201,58.557,7.6126,141.44
117.86,202,58.437,7.6542,141.54
118.96,203,58.368,7.5424,141.46
118.84,204,58.743,7.6515,141.39
170.04,205,54.87,6.6108,141.58
138.81,206,55.179,6.7826,141.72
155.54,207,55.089,6.6852,141.62
149.71,208,55.28,6.7473,141.66
118.96,209,58.229,7.5897,141.57
118.04,210,58.084,7.6384,141.68
119.18,211,58.015,7.5268,141.6
148.28,212,55.299,6.8681,141.79
148.55,213,55.455,6.8181,141.7
143.35,214,55.663,6.8689,141.71
142.51,215,55.564,6.9384,141.81
141.12,216,55.765,6.9341,141.76
119.14,217,57.833,7.5608,141.71
118,218,57.727,7.6464,141.83
119.1,219,57.652,7.5686,141.79
135.83,220,55.751,7.0477,141.89
140.39,221,55.924,7.0123,141.8
137.37,222,56.202,7.0969,141.82
132.07,223,55.997,7.1259,141.91
134.22,224,56.47,7.187,141.83
128.96,225,56.261,7.211,141.92
128.96,226,56.731,7.2835,141.85
125.51,227,56.521,7.3044,141.94
123.05,228,56.975,7.3881,141.87
121,229,56.772,7.4057,141.95
120.89,230,57.195,7.4974,141.9
119.3,231,57.019,7.5148,141.97
119.01,232,57.447,7.5619,141.86
115.26,233,57.293,7.6231,141.97
100.54,234,63.45,9.3869,139.41
100.1,235,63.307,9.4406,139.55
99.869,236,63.304,9.3074,139.51
109.04,237,63.141,9.3401,139.66
108.85,238,63.194,9.2259,139.57
113.05,239,63.086,9.2062,139.66
118.17,240,62.962,9.2347,139.77
124.14,241,62.785,9.1638,139.89
126.45,242,62.651,9.1062,139.97
123.92,270,59.319,7.5417,140.98
122.64,271,59.209,7.6134,141.12
123.46,272,59.135,7.5349,141.07
124.6,273,59.536,7.6188,140.95
122.92,274,59.697,7.7214,140.96
120.91,275,59.89,7.8269,140.96
119.5,276,60.087,7.9332,140.94
116.29,277,60.268,8.0637,140.95
162.78,283,54.783,6.348,141.25
164.19,284,54.649,6.4106,141.36
159.91,285,54.878,6.4083,141.31
123.06,286,58.943,7.526,141.16
119.59,287,58.904,7.6204,141.28
121.97,288,58.747,7.5354,141.27
169.97,292,54.859,6.5157,141.46
157.53,293,55.037,6.4792,141.37
151.22,294,55.276,6.5347,141.38
154.24,295,55.16,6.6013,141.5
147.89,296,55.383,6.5972,141.44
119.51,297,58.325,7.4605,141.39
121.65,298,58.525,7.4858,141.32
148.6,299,55.387,6.7109,141.58
145.36,300,55.548,6.6693,141.49
143.98,301,55.786,6.7262,141.5
144.43,302,55.69,6.7914,141.6
143.61,303,55.895,6.793,141.55
123.17,304,57.977,7.4477,141.54
119.84,305,58.14,7.4483,141.46
140.9,306,55.897,6.9067,141.69
143.15,307,56.061,6.8734,141.6
142.11,308,56.346,6.9597,141.61
139.17,309,56.145,6.9875,141.71
140.98,310,56.618,7.0471,141.63
137.76,311,56.413,7.0732,141.72
137.31,312,56.875,7.1373,141.64
135.02,313,56.681,7.166,141.74
134.23,314,57.103,7.2132,141.64
133,315,56.954,7.2688,141.75
131.35,316,57.197,7.2974,141.7
123.87,317,57.588,7.4073,141.66
122.83,318,57.594,7.502,141.75
126.26,319,57.43,7.4471,141.76
123.73,320,57.803,7.4314,141.59
128.56,321,57.209,7.4019,141.8
100.51,322,63.72,9.3289,139.15
99.75,323,63.573,9.3349,139.28
98.506,324,63.412,9.2291,139.38
108.25,325,63.28,9.1675,139.47
118.23,326,62.995,9.1211,139.7
118.04,327,63.14,9.0948,139.56
118.76,328,62.951,9.0117,139.68
121.52,329,62.843,9.0748,139.8
126.54,330,62.509,8.9909,140.03
122.4,331,62.653,8.9991,139.91
125.9,349,59.481,7.3925,140.72
125.58,350,59.362,7.4544,140.86
126.57,351,59.304,7.3857,140.82
125.05,352,59.702,7.5023,140.73
124.74,353,59.526,7.5184,140.84
122.06,354,59.899,7.6066,140.73
122.7,355,59.716,7.614,140.84
119.22,356,60.077,7.7038,140.73
120.02,357,59.898,7.7179,140.85
116.63,358,60.235,7.7761,140.71
117.12,359,60.098,7.8255,140.84
115.47,360,60.292,7.8546,140.75
131.19,361,62.171,8.8572,140.22
134.15,362,62.149,8.9629,140.3
130.94,363,62.042,8.8857,140.33
127.32,364,62.363,8.9364,140.11
164.81,372,54.861,6.1965,141
164.91,373,54.84,6.2771,141.13
162.81,374,55.042,6.2591,141.05
127.26,375,59.152,7.3945,140.91
124.63,376,59.061,7.4613,141.03
127.2,377,58.991,7.3874,140.98
113.14,378,60.306,7.957,140.84
111.76,379,60.496,8.0754,140.82
127.52,380,61.574,8.6868,140.56
128.6,381,61.766,8.794,140.49
