"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
168.62,1557,61.126,12.53,141.07
168.45,1558,61.123,12.398,141.11
168.47,1559,61.281,12.446,140.99
159.35,1569,61.275,12.193,141.06
150.66,1579,61.35,11.99,141.05
124.32,1590,61.452,11.784,141.02
168.68,1946,61.198,12.873,140.91
168.64,1947,61.358,12.941,140.77
167.48,1959,61.207,12.708,140.96
165.6,1960,61.365,12.695,140.85
162.23,1969,61.442,12.536,140.85
156.41,1978,61.435,12.273,140.93
153.45,1987,61.59,12.203,140.84
150.84,1988,61.525,12.03,140.92
150.99,1989,61.687,12.11,140.79
129.04,1997,61.58,11.883,140.91
138.06,1998,61.722,11.924,140.8
128.02,2009,61.631,11.768,140.9
122.78,2010,61.595,11.615,140.94
168.48,2359,61.516,13.059,140.61
163.72,2368,61.535,12.791,140.7
162.76,2376,61.704,12.657,140.62
161.45,2377,61.58,12.508,140.76
161.27,2378,61.718,12.493,140.66
156.49,2386,61.586,12.335,140.8
157.06,2387,61.737,12.315,140.7
149.39,2397,61.833,12.109,140.68
148.87,2404,61.97,12.044,140.59
146.67,2405,61.889,11.889,140.68
149.99,2406,62.031,11.965,140.56
145.81,2415,61.953,11.738,140.66
147.44,2416,62.101,11.864,140.52
124.89,2417,61.77,11.683,140.81
145.16,2425,62.115,11.698,140.54
133.12,2426,62.055,11.527,140.61
123.17,2427,61.898,11.559,140.73
117.75,2435,61.95,11.381,140.71
165.53,2758,61.766,13.242,140.35
166.6,2759,61.653,13.053,140.51
164.94,2760,61.786,13.084,140.4
163.6,2767,61.705,12.838,140.56
162.96,2768,61.812,12.938,140.44
162.31,2778,61.863,12.735,140.47
161.5,2779,61.848,12.507,140.56
161.88,2780,61.967,12.608,140.43
160.32,2788,62.086,12.591,140.34
159.16,2789,62.014,12.438,140.45
159.98,2790,62.134,12.501,140.33
157.32,2791,61.906,12.307,140.57
155.36,2800,62.084,12.27,140.44
156.71,2801,62.183,12.394,140.32
149.5,2802,61.989,12.168,140.54
152.75,2813,62.142,12.082,140.44
153.52,2814,62.242,12.226,140.32
148.65,2823,62.227,11.959,140.39
148.86,2824,62.346,12.054,140.27
142.49,2830,62.314,11.839,140.34
138.63,2831,62.171,11.583,140.51
140.26,2832,62.285,11.641,140.41
133.92,2842,62.219,11.467,140.49
115.36,2843,62.007,11.242,140.68
128.55,2844,62.149,11.3,140.57
120.87,2858,62.122,11.124,140.61
114.87,2859,62.21,10.952,140.55
113.68,2860,62.066,10.813,140.68
111.57,2861,62.497,10.411,140.36
112.32,2862,62.352,10.295,140.48
111.11,2863,62.303,10.393,140.52
112.94,2864,62.515,10.276,140.35
112.47,2873,62.121,10.648,140.64
110.45,2874,62.191,10.492,140.6
204.5,3106,60.816,15.411,139.81
167.01,3169,61.834,13.614,140.13
165.85,3170,61.752,13.445,140.27
166.53,3171,61.871,13.467,140.17
168.42,3178,61.939,13.316,140.18
168.16,3179,61.913,13.094,140.3
168.47,3180,62.031,13.157,140.18
166.04,3187,62.136,13.109,140.11
164.48,3188,62.066,12.956,140.23
167.36,3189,62.183,12.987,140.12
163.05,3190,61.946,12.891,140.35
167.02,3199,62.36,12.977,139.96
166.48,3200,62.36,12.819,140.03
167.11,3201,62.434,12.884,139.93
168.24,3202,62.262,12.971,140.06
166.94,3203,62.224,12.812,140.15
162.63,3204,62.066,12.75,140.3
160.83,3214,62.369,12.676,140.07
164.03,3215,62.478,12.774,139.93
161.52,3216,62.24,12.593,140.21
160.32,3225,62.425,12.509,140.07
162.53,3226,62.525,12.621,139.94
157.28,3227,62.325,12.394,140.2
154.41,3237,62.488,12.339,140.06
155.1,3238,62.607,12.451,139.91
153.47,3239,62.38,12.232,140.19
151.44,3247,62.645,12.279,139.93
148.91,3248,62.618,12.1,140.01
148.7,3249,62.499,12.155,140.1
143.29,3264,62.524,11.956,140.13
140.62,3265,62.389,11.699,140.31
141.89,3266,62.487,11.762,140.21
138.19,3277,62.465,11.559,140.26
132.97,3278,62.28,11.354,140.45
135.18,3279,62.398,11.409,140.35
102.03,3282,62.799,10.291,140.12
133.44,3287,62.353,11.245,140.41
125.37,3288,62.358,11.083,140.42
119.71,3289,62.458,10.925,140.36
117.19,3290,62.333,10.794,140.47
108.18,3291,62.582,10.575,140.28
109.78,3292,62.398,10.489,140.44
112.82,3293,62.39,10.579,140.44
103.78,3294,62.688,10.411,140.2
114.74,3304,62.293,10.645,140.51
210.89,3550,60.692,15.769,139.62
210.27,3551,60.689,15.594,139.75
212.65,3552,60.592,15.596,139.8
205.5,3553,60.858,15.841,139.47
205.53,3554,60.812,15.606,139.67
202.22,3555,60.945,15.722,139.51
214.91,3567,60.445,15.545,139.9
198.74,3568,60.992,15.531,139.62
198.48,3569,60.951,15.345,139.77
192.7,3570,61.163,15.505,139.53
192.43,3571,61.08,15.329,139.7
191.3,3572,61.203,15.377,139.59
188.9,3578,61.251,15.257,139.64
189.06,3579,61.296,15.107,139.71
189.45,3580,61.422,15.217,139.54
216.17,3584,61.508,15.022,139.6
168.69,3618,61.774,13.954,140
168.67,3619,61.729,14.223,139.89
168.69,3624,61.941,13.954,139.87
168.41,3625,61.84,13.785,140.04
168.63,3626,61.968,13.823,139.91
168.6,3634,61.991,13.692,139.96
168.12,3635,61.963,13.514,140.07
168.69,3636,62.056,13.575,139.96
168.66,3643,62.249,13.456,139.85
168.52,3644,62.276,13.267,139.92
168.57,3645,62.354,13.329,139.81
168.69,3646,62.091,13.445,139.99
168.13,3647,62.135,13.283,140.03
168.18,3656,62.554,13.279,139.64
168.1,3657,62.536,13.11,139.74
166.52,3658,62.612,13.151,139.65
168.25,3659,62.442,13.297,139.75
167.65,3660,62.413,13.146,139.84
168.35,3661,62.26,13.122,139.99
168.13,3672,62.521,12.952,139.82
168.55,3673,62.641,13.03,139.67
166.76,3683,62.598,12.767,139.82
166.23,3684,62.672,12.886,139.7
164.03,3695,62.666,12.61,139.8
163.15,3696,62.732,12.727,139.7
155.56,3708,62.73,12.498,139.78
155.27,3709,62.829,12.562,139.65
151.99,3719,62.812,12.385,139.73
149,3720,62.706,12.151,139.91
149.08,3721,62.792,12.206,139.81
147.5,3732,62.761,12.021,139.89
143.61,3733,62.595,11.82,140.1
145.58,3734,62.714,11.87,139.97
110.65,3735,63.104,10.267,139.85
108.94,3736,62.928,10.196,140.01
110.7,3737,62.965,10.318,139.98
106.33,3738,63.181,10.148,139.79
103.34,3740,63.137,10.024,139.82
144.9,3743,62.642,11.681,140.08
139.97,3744,62.667,11.524,140.09
136.45,3745,62.572,11.379,140.2
111.22,3746,62.963,10.415,139.97
105,3747,62.852,10.393,140.07
110.59,3748,62.925,10.517,140
134.43,3755,62.546,11.2,140.25
128.47,3756,62.553,11.062,140.26
122.32,3757,62.653,10.964,140.19
115.05,3758,62.478,10.692,140.36
116.9,3759,62.676,10.79,140.18
111.25,3760,62.755,10.596,140.14
217.64,4066,60.539,15.898,139.6
216.08,4067,60.545,15.717,139.73
224.83,4068,60.43,15.73,139.78
210.86,4069,60.715,15.965,139.46
203.73,4070,60.899,16.033,139.3
198.21,4071,61.043,15.716,139.45
196.2,4072,61.065,15.907,139.29
191.68,4073,61.249,15.885,139.19
191.88,4074,61.15,15.697,139.4
190.93,4075,61.268,15.732,139.29
265.21,4084,60.083,15.599,140.01
235.71,4085,60.269,15.68,139.88
190.22,4086,61.298,15.587,139.37
189.95,4087,61.322,15.408,139.48
191.01,4088,61.455,15.513,139.31
194.56,4094,61.544,15.327,139.37
244.78,4109,61.597,15.149,139.45
287.84,4119,61.642,14.966,139.53
16.471,4126,61.716,14.767,139.59
77.226,4132,61.864,14.688,139.51
160.32,4133,61.778,14.496,139.7
155.42,4134,61.881,14.521,139.6
168.68,4141,61.909,14.351,139.67
168.69,4142,61.883,14.124,139.82
168.68,4143,61.976,14.202,139.7
168.72,4148,62.236,13.982,139.59
168.69,4149,62.223,13.787,139.71
168.76,4150,62.314,13.835,139.59
168.64,4151,62.074,14.074,139.68
168.57,4152,62.095,13.859,139.78
168.31,4158,62.509,13.753,139.44
167.87,4159,62.47,13.585,139.58
168.36,4160,62.569,13.613,139.46
168.55,4161,62.396,13.788,139.54
168.33,4162,62.335,13.638,139.68
168.69,4163,62.161,13.64,139.84
167.96,4169,62.646,13.551,139.41
167.54,4170,62.561,13.449,139.55
168.32,4171,62.665,13.454,139.44
167.93,4172,62.417,13.45,139.69
167.32,4179,62.696,13.338,139.47
160.75,4180,62.708,13.165,139.54
167.26,4181,62.794,13.238,139.41
168.59,4197,62.888,13.223,139.31
168.47,4198,62.857,13.092,139.41
167.82,4199,62.947,13.141,139.28
168.47,4200,62.766,13,139.55
167.55,4210,62.903,12.948,139.42
164.7,4211,63.022,13.032,139.24
166.24,4212,62.802,12.854,139.57
167.47,4221,62.915,12.803,139.47
166.11,4222,63.027,12.871,139.31
163.07,4223,62.841,12.714,139.59
163.32,4236,62.991,12.738,139.41
149.52,4237,63.029,12.623,139.41
152.74,4238,62.931,12.635,139.52
123.7,4239,63.542,10.058,139.46
117.21,4240,63.412,9.9607,139.57
121.59,4241,63.442,10.085,139.55
113.55,4242,63.56,9.9598,139.43
147.06,4252,63.002,12.472,139.49
149.02,4253,62.884,12.262,139.69
147.63,4254,62.99,12.311,139.56
123.69,4255,63.418,10.175,139.57
115.13,4256,63.284,10.038,139.69
130.93,4257,63.316,10.189,139.66
102.88,4258,63.275,9.896,139.68
107.55,4259,63.488,9.8757,139.49
101.68,4260,63.356,9.8153,139.6
101.45,4261,63.49,9.7841,139.48
148.74,4265,62.932,12.136,139.68
148.54,4266,62.923,12.012,139.73
147.3,4267,62.786,11.759,139.93
148.54,4268,62.913,11.884,139.77
147.42,4269,62.888,11.744,139.83
126.53,4270,63.263,10.405,139.7
120.65,4271,63.09,10.423,139.86
125.49,4272,63.176,10.562,139.77
133.32,4273,63.261,10.276,139.71
141.92,4281,62.824,11.61,139.92
