"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
13.966,240,84.95,3.2357,145.12
13.811,249,85.098,3.1461,145.05
11.943,250,85.122,3.0077,144.91
13.373,251,85.266,3.0008,144.92
0,260,85.315,2.8346,144.74
12.585,261,85.393,2.9107,144.84
12.613,268,85.54,2.8296,144.76
0,269,85.591,2.6912,144.6
11.814,270,85.667,2.7324,144.66
6.4936,271,88.947,1.8475,143.86
6.4606,272,88.942,1.7655,143.74
6.6012,273,88.819,1.8411,143.83
0,274,89.075,1.8534,143.88
0,275,89.076,1.7582,143.75
8.6579,297,85.787,2.6559,144.58
0,298,85.853,2.5641,144.46
0,299,85.985,2.59,144.51
6.7873,300,88.762,1.7994,143.76
6.6395,301,88.856,1.7197,143.65
6.9642,302,88.687,1.7796,143.71
5.4141,303,89.03,1.679,143.62
0,315,86.214,2.4457,144.33
6.4555,316,88.939,1.6114,143.47
7.9057,317,88.743,1.6818,143.55
6.1699,327,88.665,1.6412,143.44
0,328,88.825,1.5707,143.34
0,329,88.68,1.5925,143.34
66.986,380,83.392,4.8126,145.96
70.391,382,83.371,4.6722,145.89
76.297,410,83.292,4.627,145.85
79.166,411,83.464,4.4769,145.81
78.293,412,83.316,4.5222,145.79
73.531,440,83.354,4.4022,145.73
71.264,465,83.4,4.2238,145.63
70.526,493,83.332,4.1367,145.54
65.245,495,83.368,4.0111,145.46
65.206,521,83.311,3.9772,145.41
63.778,522,83.456,3.8355,145.34
64.145,523,83.231,3.9544,145.35
58.77,548,83.329,3.774,145.23
54.1,565,83.422,3.588,145.08
27.275,581,84.874,3.6122,145.44
40.551,584,83.497,3.253,144.73
26.517,586,85.003,3.4591,145.32
15.862,589,84.988,3.3263,145.21
26.006,590,85.099,3.346,145.24
25.897,593,85.186,3.2354,145.14
22.726,594,85.282,3.1072,145.03
24.572,595,85.388,3.1757,145.1
14.588,598,85.454,2.9923,144.93
23.511,599,85.577,3.0288,144.97
6.43,600,88.754,2.0458,144.09
6.3973,601,88.827,1.9293,143.95
6.7925,602,88.702,1.9551,143.97
6.5092,603,88.919,2.0462,144.1
6.4342,604,88.931,1.9487,143.99
0,606,89.073,1.9499,144
23.514,624,85.673,2.8734,144.82
18.047,625,85.787,2.7421,144.68
21.993,626,85.946,2.7566,144.7
7.6051,627,88.579,1.9542,143.95
7.2028,628,88.68,1.8712,143.85
8.0798,629,88.562,1.8747,143.83
11.111,639,86.127,2.5955,144.52
8.2508,640,88.447,1.8937,143.83
7.9539,641,88.557,1.7831,143.68
9.509,642,88.416,1.8453,143.75
8.4717,649,86.325,2.5017,144.41
0,651,86.485,2.3709,144.25
10.25,652,88.33,1.8611,143.75
10.057,653,88.412,1.7669,143.6
10.355,654,88.227,1.8784,143.74
8.1139,655,88.568,1.7062,143.54
5.6179,660,86.652,2.2353,144.07
4.7677,663,88.509,1.646,143.39
5.2203,664,88.285,1.755,143.53
0,671,88.374,1.632,143.31
72.958,713,82.956,6.1653,146.25
78.755,714,83.003,5.9764,146.23
79.94,715,82.892,6.066,146.22
73.668,716,83.093,6.206,146.28
75.224,717,83.111,6.0398,146.27
74.057,718,83.187,6.229,146.3
72.679,719,83.239,6.0964,146.3
72.546,720,83.276,6.2333,146.32
75.819,721,83.015,5.8084,146.2
78.392,722,82.874,5.9462,146.19
73.627,723,83.14,5.8581,146.24
71.872,724,83.255,5.9191,146.28
70.834,725,83.402,6.1474,146.33
70.495,726,83.352,5.9925,146.3
