"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
122.37,269,51.192,7.5769,97.073
122,270,51.184,7.4212,97.036
121.71,271,51.062,7.4393,97.027
122.22,272,51.417,7.6638,97.116
121.61,273,51.358,7.5188,97.077
122.46,274,51.621,7.723,97.149
121.2,275,51.548,7.5842,97.11
120.92,276,51.758,7.7463,97.165
120.54,277,51.732,7.6393,97.137
120.29,278,51.869,7.7507,97.173
115.47,279,50.624,7.2453,96.918
118.58,280,50.58,7.0961,96.871
120.29,281,50.807,7.3337,96.967
119.82,282,50.779,7.1911,96.925
121.12,283,50.945,7.383,96.998
119.81,284,50.987,7.2808,96.976
119.59,285,51.169,7.3003,97.002
119.33,286,51.328,7.3834,97.04
119.11,287,51.507,7.4494,97.071
117.68,288,51.681,7.5051,97.098
118.21,289,51.919,7.6756,97.156
115.15,290,51.847,7.5789,97.127
0,291,52.046,7.6161,97.143
121.03,292,50.583,6.9708,96.832
119.72,293,50.736,7.0498,96.877
119.2,294,50.92,7.1251,96.922
119.3,295,51.1,7.1755,96.956
119.06,296,51.29,7.2497,96.996
117.35,297,51.451,7.3314,97.033
0,298,51.643,7.3553,97.05
0,299,51.852,7.4775,97.096
0,300,52.04,7.475,97.099
121.3,301,50.531,6.8476,96.781
120.26,302,50.701,6.8974,96.82
118.64,303,50.855,6.9925,96.871
115.72,304,51.038,7.0227,96.898
115.63,305,51.247,7.1226,96.95
0,306,51.453,7.2206,96.996
0,307,51.619,7.188,96.991
0,308,51.744,7.282,97.029
0,309,51.862,7.3661,97.06
127.65,310,50.668,6.7302,96.749
103.78,311,50.853,6.8668,96.822
96.012,312,51.004,6.8749,96.839
92.847,313,51.111,6.9359,96.871
106.21,314,51.233,6.9974,96.902
0,315,51.409,7.0895,96.946
131.3,316,50.765,6.6204,96.709
104.65,317,50.919,6.7478,96.777
122.9,394,50.895,7.7108,97.058
123.02,395,50.87,7.5694,97.028
122.62,396,50.734,7.561,97.006
123.93,397,51.14,7.8358,97.114
124.37,398,51.069,7.6647,97.074
123.55,399,51.431,7.91,97.165
124.14,400,51.297,7.7499,97.119
123.01,401,51.684,7.9641,97.201
123.77,402,51.549,7.8187,97.16
122.66,403,51.932,8.0239,97.234
122.7,404,51.825,7.867,97.194
122.13,405,52.159,8.1087,97.267
121.63,406,52.074,7.9449,97.227
118.54,407,52.381,8.1894,97.296
105.2,408,52.291,8.0301,97.257
114.1,409,52.594,8.2547,97.318
94.409,410,52.494,8.1046,97.282
143.35,411,52.741,8.2662,97.325
140.67,412,52.662,8.1672,97.301
151.11,413,52.849,8.22,97.315
75.174,414,50.49,7.2919,96.907
117.72,415,50.553,7.508,96.964
117.19,416,50.675,7.4165,96.965
121.38,417,50.942,7.494,97.022
119.62,418,52.047,7.79,97.188
87.233,419,52.243,7.8771,97.218
72.068,420,52.44,7.9655,97.247
121.17,421,52.659,8.0475,97.271
155.14,422,52.834,8.1156,97.29
0,423,52.231,7.7225,97.176
0,424,52.41,7.8179,97.206
0,425,52.571,7.9089,97.233
161.72,426,52.827,8.0364,97.269
157.31,427,52.742,7.9192,97.235
158.9,428,52.934,7.9997,97.256
0,429,52.239,7.5729,97.13
0,430,52.434,7.6788,97.163
0,431,52.595,7.7864,97.196
0,432,52.772,7.7961,97.195
0,433,52.913,7.8927,97.223
0,434,51.865,7.2273,97.009
0,435,52.012,7.3432,97.052
0,436,52.312,7.4771,97.097
0,437,52.178,7.4111,97.075
0,438,52.459,7.5465,97.117
0,439,52.671,7.6553,97.149
93.037,440,51.161,6.8421,96.833
0,441,51.366,6.9436,96.886
0,442,51.535,7.0506,96.935
0,443,51.927,7.1233,96.966
0,444,51.717,7.0945,96.955
0,445,52.118,7.2617,97.019
132.98,446,50.935,6.6196,96.719
128.46,447,51.108,6.7021,96.766
131.75,448,51.338,6.803,96.821
0,449,51.561,6.9416,96.888
120.42,567,51.881,8.4038,97.29
120.6,568,51.866,8.2388,97.266
119.83,569,51.721,8.2592,97.253
122.1,570,52.183,8.5251,97.338
122.19,571,52.1,8.3543,97.304
124.19,572,52.48,8.5767,97.37
123.86,573,52.369,8.4331,97.338
125.85,574,52.661,8.6141,97.388
125.45,575,52.673,8.4948,97.366
135.62,576,52.81,8.6324,97.398
118.68,577,51.217,8.059,97.161
119.33,578,51.183,7.9596,97.142
118.72,579,51.032,7.962,97.118
119.16,580,51.386,8.1637,97.198
121.11,581,51.354,8.0061,97.171
119.3,582,51.57,8.2067,97.228
122.49,583,51.595,8.0905,97.213
122.41,584,51.816,8.1008,97.238
122.37,585,52.032,8.189,97.272
122.98,586,52.263,8.2763,97.304
123.98,587,52.527,8.3503,97.332
145.9,588,52.988,8.5855,97.395
145.21,589,52.834,8.3955,97.352
161.45,590,53.274,8.6636,97.417
160.92,591,53.106,8.4745,97.374
163.29,592,53.301,8.5756,97.399
116.36,593,50.682,7.7364,97.026
118.55,594,50.693,7.6329,97.011
86.974,595,50.545,7.6105,96.981
118.85,596,50.879,7.8414,97.075
164.38,597,53.037,8.3077,97.335
163.2,598,53.317,8.5021,97.382
161.94,599,53.26,8.3657,97.348
165.67,600,53.458,8.5032,97.38
59.773,601,50.181,7.4252,96.873
74.159,602,50.357,7.5337,96.929
164.41,603,53.001,8.1371,97.292
161.47,604,53.186,8.198,97.305
166.54,605,53.472,8.4121,97.357
165.07,606,53.405,8.2689,97.319
143.33,607,53.607,8.4034,97.349
159.06,608,53.115,7.9995,97.248
160.98,609,53.311,8.1092,97.274
142.51,610,53.609,8.3045,97.321
163.46,611,53.511,8.1561,97.279
163.63,612,53.736,8.2822,97.306
0,613,52.951,7.7693,97.178
138.59,614,53.151,7.88,97.207
95.979,615,53.354,7.9611,97.222
82.464,616,53.578,8.0593,97.243
120.75,617,53.724,8.1755,97.272
0,618,52.366,7.3742,97.055
0,619,52.606,7.4792,97.086
0,620,52.829,7.5818,97.114
0,621,53.032,7.6569,97.131
0,622,53.198,7.7823,97.168
0,623,53.412,7.7878,97.153
43.857,624,53.555,7.9438,97.202
0,625,51.775,7.007,96.918
0,626,51.949,6.9895,96.905
0,627,52.1,7.1275,96.963
7.2171,628,52.301,7.2167,96.993
359.51,629,52.533,7.3138,97.022
0,630,52.77,7.4124,97.048
0,631,52.997,7.5108,97.073
0,632,53.205,7.6357,97.109
135.06,633,51.037,6.5341,96.679
135.29,634,51.231,6.6382,96.738
143.15,635,51.361,6.6971,96.771
145.48,636,51.476,6.7374,96.792
0,637,51.55,6.8284,96.836
0,638,51.724,6.8912,96.864
135.53,639,51.232,6.5163,96.672
143.59,640,51.427,6.6161,96.727
