"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
45,115,83.432,18.971,109.81
45,116,83.61,19.032,109.86
45,117,83.52,18.918,109.85
44.76,118,83.539,19.12,109.82
45,119,83.519,18.828,109.86
45,120,83.731,18.974,109.9
45.255,121,83.62,18.824,109.89
44.96,122,83.78,19.137,109.89
42.615,123,83.703,19.2,109.85
45,124,83.908,18.969,109.95
45.474,125,83.731,18.818,109.92
44.975,126,83.944,19.128,109.93
39.955,127,83.83,19.264,109.88
38.022,128,84.003,19.302,109.92
36.332,129,83.901,19.372,109.88
0,137,89.759,22.189,109.04
45,140,84.071,18.957,109.99
45.489,141,83.894,18.817,109.96
44.83,142,84.104,19.11,109.98
37.925,143,84.154,19.271,109.96
31.696,144,84.067,19.486,109.9
31.146,145,84.222,19.445,109.95
31.404,146,84.226,19.564,109.92
45.023,159,84.227,18.942,110.03
45.49,160,84.063,18.814,110
44.821,161,84.257,19.087,110.02
38.092,162,84.307,19.237,110.01
31.432,163,84.364,19.389,109.99
31.37,164,84.386,19.663,109.93
31.061,165,84.415,19.533,109.97
31.16,166,84.554,19.659,109.98
25.628,169,87.88,21.942,109.45
51.837,179,84.381,18.926,110.06
52.137,180,84.232,18.81,110.04
50.369,181,84.397,19.057,110.05
43.267,182,84.456,19.205,110.05
36.261,183,84.52,19.351,110.03
33.883,184,84.576,19.513,110.01
31.649,185,84.658,19.651,110
58.781,198,84.526,18.912,110.09
58.871,199,84.402,18.808,110.07
56.004,200,84.544,19.031,110.08
48.806,201,84.562,19.153,110.07
42.444,202,84.686,19.299,110.08
36.861,203,84.717,19.456,110.05
31.204,204,84.759,19.664,110.02
31.651,205,84.781,19.592,110.04
33.934,206,84.949,19.757,110.03
58.975,213,84.592,18.812,110.1
58.801,214,84.762,18.906,110.13
58.568,215,84.687,18.993,110.11
55.023,216,84.703,19.137,110.1
53.335,217,84.83,19.231,110.11
50.202,218,84.875,19.337,110.1
50.55,219,85.009,19.407,110.11
48.052,220,84.888,19.461,110.08
44.607,221,84.915,19.595,110.06
45.213,222,85.053,19.715,110.06
58.797,233,84.83,19.004,110.13
56.329,234,84.885,19.12,110.13
52.165,235,85.052,19.501,110.1
52.785,236,85.104,19.626,110.09
50.019,244,85.563,19.69,110.14
48.461,245,85.773,19.716,110.16
49.958,246,85.62,19.607,110.16
46.789,247,85.657,19.792,110.13
47.633,255,85.559,19.505,110.17
46.823,257,85.622,19.446,110.18
45.022,259,85.845,19.874,110.13
43.488,261,85.94,19.971,110.12
42.308,263,86.038,20.044,110.11
51.954,272,85.688,19.38,110.2
39.075,368,82.043,18.211,109.4
41.747,373,82.206,18.243,109.47
58.599,374,82.282,18.22,109.5
58.691,375,82.411,18.388,109.53
58.684,376,82.519,18.58,109.54
57.195,378,82.555,18.72,109.54
46.176,379,82.605,18.864,109.53
58.988,380,82.526,18.331,109.58
59.036,381,82.357,18.173,109.53
55.551,382,82.651,18.525,109.6
51.967,383,82.756,18.743,109.61
41.072,384,82.753,18.884,109.58
58.86,385,82.516,18.168,109.59
54.274,386,82.7,18.377,109.64
47.548,387,82.853,18.475,109.68
45.174,388,82.893,18.636,109.67
37.883,389,82.904,18.975,109.62
44.608,390,83.007,18.868,109.68
40.179,391,82.992,19.152,109.62
44.847,392,83.123,19.078,109.68
44.037,393,83.123,19.219,109.65
45.512,394,83.121,18.641,109.75
49.112,395,82.986,18.496,109.72
45,396,83.126,18.794,109.73
44.896,397,83.278,19,109.75
41.511,398,83.258,19.327,109.67
41.821,399,83.306,19.187,109.72
40.682,400,83.418,19.356,109.72
21.032,401,88.301,22.788,109
21.014,402,88.311,22.639,109.08
22.767,403,88.161,22.708,109.05
11.376,404,88.476,22.813,108.97
11.202,405,88.538,22.692,109.03
352.17,406,88.621,22.819,108.95
45.864,407,83.288,18.62,109.81
50.344,408,83.144,18.467,109.78
45,409,83.325,18.798,109.8
43.235,410,83.488,19.233,109.77
38.663,411,83.527,19.383,109.75
21.153,412,88.223,22.508,109.15
27.652,413,88.067,22.615,109.11
10.856,414,88.471,22.544,109.11
333.49,415,88.812,22.747,108.96
0,416,88.71,22.588,109.06
0,417,89.051,22.768,108.92
0,419,89.12,22.655,108.96
17.653,420,90.23,22.577,108.73
17.701,421,90.175,22.368,108.84
17.463,422,90.043,22.466,108.84
17.697,423,90.499,22.602,108.64
17.71,424,90.418,22.4,108.75
17.699,425,90.625,22.447,108.67
47.119,426,83.492,18.675,109.86
50.844,427,83.336,18.482,109.83
41.52,428,83.703,19.296,109.83
37.82,429,83.627,19.43,109.78
37.865,430,83.699,19.4,109.81
36.391,431,83.784,19.574,109.79
19.747,432,88.131,22.373,109.23
24.487,433,87.978,22.477,109.18
0,434,88.379,22.408,109.19
0,437,89.239,22.554,108.99
0,439,89.488,22.523,108.95
0,441,89.727,22.484,108.91
0,442,89.579,22.365,109
17.329,443,89.893,22.463,108.88
18.054,444,89.885,22.305,108.95
17.26,445,90.113,22.212,108.92
16.089,446,90.312,22.221,108.86
0,447,90.674,22.27,108.72
0,448,90.496,22.21,108.8
48.734,450,83.706,18.671,109.92
51.99,451,83.546,18.521,109.89
33.847,452,83.876,19.474,109.84
34.68,453,83.924,19.601,109.83
18.162,454,88.069,22.226,109.31
19.122,455,87.898,22.321,109.27
0,456,88.28,22.287,109.26
0,459,90.018,22.08,109.01
0,460,90.233,22.053,108.95
0,461,90.429,22.046,108.89
49.673,463,83.901,18.678,109.97
52.658,464,83.75,18.538,109.94
34.476,465,84.054,19.62,109.86
33.205,466,84.23,19.672,109.89
32.27,467,84.185,19.768,109.85
24.375,468,88.034,22.09,109.38
25.605,469,87.831,22.147,109.36
0,470,88.29,22.153,109.32
50.439,474,84.086,18.684,110.01
52.872,475,83.949,18.554,109.99
31.341,476,84.401,19.854,109.88
31.372,477,84.578,19.793,109.95
31.486,478,84.569,19.893,109.92
26.684,479,87.629,22.071,109.4
26.865,480,87.727,22.002,109.43
30.119,481,87.549,21.97,109.45
54.4,485,84.264,18.691,110.05
56.21,486,84.142,18.566,110.03
31.445,487,84.77,19.778,109.99
36.765,488,84.703,19.931,109.94
37.75,489,84.797,19.892,109.97
38.181,490,84.88,20.04,109.94
28.019,492,87.377,21.89,109.49
58.876,495,84.436,18.705,110.08
58.991,496,84.332,18.587,110.06
41.739,497,84.993,19.915,110
44.381,498,85.132,20.094,109.97
59.036,505,84.551,18.632,110.1
59.036,506,84.704,18.663,110.12
59.036,507,84.762,18.794,110.13
52.307,508,85.014,19.286,110.13
46.148,509,85.219,19.859,110.05
45.43,510,85.269,20.03,110.02
59.064,515,84.939,18.827,110.15
59.062,516,84.836,18.693,110.14
59.078,517,84.967,18.98,110.15
58.847,518,85.077,19.157,110.15
58.62,519,85.17,19.314,110.15
58.445,520,85.192,19.482,110.12
58.918,521,85.276,19.67,110.1
51.825,522,85.442,19.781,110.1
45.183,523,85.384,20.009,110.04
45.388,524,85.528,19.96,110.07
43.745,525,85.526,20.096,110.04
59.369,533,85.006,18.721,110.16
60.517,534,85.149,18.781,110.17
60.585,535,85.113,18.909,110.17
60.594,536,85.193,19.072,110.17
60.793,537,85.276,19.24,110.17
57.673,538,85.314,19.4,110.15
53.076,539,85.41,19.563,110.14
44.921,540,85.656,19.896,110.1
39.623,541,85.715,20.139,110.05
34.644,542,85.811,20.033,110.09
62.172,552,85.234,18.875,110.18
62.624,553,85.325,18.881,110.19
61.605,554,85.341,19.005,110.19
61.824,555,85.403,19.171,110.19
54.966,556,85.468,19.356,110.17
64.669,567,85.512,18.969,110.21
64.861,568,85.424,18.866,110.2
63.1,569,85.543,19.096,110.2
54.338,570,85.6,19.243,110.2
0,648,81.626,17.815,109.26
0,649,81.444,17.759,109.18
0,650,81.742,18.009,109.29
0,656,81.676,17.678,109.3
0,657,81.506,17.621,109.23
59.463,658,81.816,17.846,109.34
57.922,659,81.931,18.039,109.37
0,664,81.61,17.481,109.28
59.073,665,81.821,17.64,109.36
59.01,666,81.989,17.703,109.42
58.626,667,82.024,17.869,109.42
58.319,668,82.138,18.071,109.45
59.036,673,82.152,17.718,109.48
59.036,674,82.354,17.837,109.55
59.036,675,82.271,17.966,109.51
33.546,676,82.741,18.985,109.56
6.3249,677,82.816,19.127,109.55
8.4288,678,82.871,19.276,109.54
20.82,679,88.206,23.204,108.78
21.172,680,88.249,23.036,108.87
27.62,681,88.056,23.097,108.85
11.33,682,88.38,23.241,108.75
11.471,683,88.463,23.109,108.81
11.214,684,88.519,23.262,108.72
59.036,685,82.493,18.008,109.59
59.036,686,82.637,18.021,109.64
58.57,687,82.725,18.187,109.66
52.163,688,82.84,18.356,109.69
16.359,689,82.972,19.283,109.57
38.158,690,83.121,19.337,109.62
32.231,691,83.077,19.435,109.57
30.279,692,87.874,23.073,108.86
30.291,693,88.007,22.951,108.93
30.195,694,87.812,22.991,108.91
21.169,695,88.204,22.897,108.95
11.034,696,88.474,22.947,108.9
8.4459,697,88.653,23.185,108.75
2.6069,698,88.744,23.046,108.81
8.428,699,88.837,23.2,108.72
58.481,700,82.923,18.175,109.73
59.036,701,82.775,18.02,109.68
52.037,702,82.97,18.324,109.73
31.378,703,83.244,19.529,109.61
33.729,704,83.41,19.493,109.68
30.969,705,83.376,19.589,109.64
29.863,706,87.98,22.778,109.02
30.031,707,87.765,22.885,108.97
337.26,708,88.732,22.903,108.89
5.4599,709,89.03,23.11,108.74
345.06,710,88.964,22.917,108.85
6.7137,711,89.133,22.979,108.79
17.835,712,90.921,22.68,108.47
17.574,713,90.733,22.58,108.57
17.412,714,90.707,22.765,108.5
0,715,91.023,22.573,108.48
18.443,716,90.904,22.526,108.54
0,717,91.071,22.436,108.52
58.943,718,82.986,18.053,109.75
58.36,719,83.156,18.143,109.79
52.061,720,83.156,18.287,109.79
37.451,721,83.599,19.532,109.74
30.804,722,83.481,19.646,109.66
31.346,723,83.585,19.638,109.7
31.127,724,83.596,19.774,109.66
30.082,725,87.841,22.609,109.12
30.08,726,87.695,22.734,109.05
0,727,89.29,22.863,108.82
0,728,89.242,22.715,108.91
0,729,89.583,22.824,108.78
0,730,89.43,22.69,108.88
0,731,89.82,22.757,108.76
0,732,89.665,22.646,108.85
16.21,733,90.07,22.755,108.69
16.988,734,89.934,22.608,108.8
17.203,735,90.365,22.767,108.6
17.681,736,90.83,22.394,108.62
