"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
115.99,771,62.174,20.512,113.18
122.17,775,62.043,20.285,113.31
117.15,776,62.11,20.405,113.24
121.63,782,61.931,20.173,113.38
107.22,805,61.565,19.579,113.68
98.798,806,61.372,19.426,113.77
93.69,816,61.209,19.215,113.87
76.83,822,60.694,18.752,114.09
76.933,823,60.852,18.966,114.01
98.592,1051,62.338,20.739,113.03
123.57,1052,62.606,20.97,112.84
118.51,1053,62.532,20.84,112.92
114,1057,62.449,20.693,113.02
113.36,1058,62.352,20.545,113.11
111.09,1062,62.193,20.21,113.29
111.22,1063,62.236,20.375,113.21
107.75,1082,61.984,19.965,113.44
108.19,1083,62.039,20.107,113.38
108.73,1090,61.695,19.721,113.6
107.59,1091,61.852,19.829,113.53
93.922,1096,61.473,19.33,113.78
98.839,1097,61.628,19.424,113.71
107.21,1098,61.761,19.597,113.63
82.81,1102,61.213,18.996,113.93
78.273,1103,61.061,19.063,113.94
79.979,1104,61.02,18.914,113.99
91.815,1105,61.368,19.18,113.84
78.869,1113,60.885,18.784,114.05
130.69,1419,62.921,21.247,112.6
128.01,1420,62.85,21.105,112.69
120.66,1424,62.72,20.781,112.89
121.96,1425,62.728,20.941,112.81
111.88,1429,62.534,20.481,113.07
112.98,1430,62.569,20.652,112.99
108.83,1452,62.29,20.156,113.28
109.05,1453,62.4,20.318,113.18
108.18,1458,62.042,19.842,113.47
108.48,1459,62.184,19.999,113.37
108.11,1464,62.054,19.685,113.51
107.66,1465,61.919,19.713,113.55
105.99,1466,61.909,19.583,113.59
99.806,1469,61.711,19.241,113.74
93.701,1470,61.552,19.265,113.78
94.726,1471,61.525,19.142,113.82
104.68,1472,61.839,19.421,113.65
80.342,1476,61.231,18.626,114.01
85.435,1479,61.269,18.829,113.95
80.472,1480,61.074,18.77,114.01
93.224,1481,61.414,18.985,113.88
131.82,1920,63.249,21.528,112.33
134.18,1921,63.16,21.402,112.43
127.96,1925,63.039,21.062,112.64
131.81,1926,63.039,21.236,112.56
120.55,1930,62.886,20.752,112.84
124.21,1931,62.893,20.924,112.76
111.01,1955,62.657,20.457,113.04
116.14,1956,62.748,20.597,112.95
106.64,1959,62.514,20.181,113.2
107.13,1960,62.377,20.089,113.27
106.02,1961,62.517,20.012,113.25
109.82,1962,62.613,20.313,113.11
105.89,1966,62.349,19.907,113.34
106.7,1967,62.197,19.799,113.43
106.29,1968,62.336,19.71,113.41
107.06,1972,62.171,19.602,113.5
105.89,1973,62.011,19.529,113.57
106.24,1974,62.066,19.402,113.59
99.026,1977,61.794,19.048,113.76
94.92,1978,61.617,19.071,113.81
95.194,1979,61.585,18.931,113.85
104.76,1980,61.887,19.26,113.68
87.212,1985,61.441,18.598,113.96
93.703,1986,61.433,18.784,113.92
130.71,2573,63.473,21.641,112.18
134.02,2577,63.34,21.338,112.39
133.48,2578,63.365,21.488,112.31
127.71,2582,63.205,21.035,112.59
131.86,2583,63.202,21.208,112.51
120.7,2607,63,20.732,112.8
125.5,2608,63.079,20.876,112.71
111.52,2612,62.865,20.462,112.96
110.68,2613,62.748,20.416,113.02
110.78,2614,62.822,20.283,113.04
119.33,2615,62.958,20.588,112.87
104.02,2618,62.669,19.959,113.21
106.98,2619,62.672,20.143,113.15
100.41,2623,62.476,19.624,113.38
101.09,2624,62.502,19.826,113.31
102.32,2626,62.215,19.325,113.55
100.55,2627,62.293,19.505,113.48
89.999,2629,61.808,18.656,113.84
89.631,2630,61.63,18.659,113.89
88.533,2631,61.594,18.544,113.92
96.518,2632,61.868,18.868,113.77
94.623,2633,61.66,18.804,113.85
100.39,2634,61.98,19.04,113.7
102.74,2635,62.024,19.202,113.65
134.93,3353,63.76,21.809,111.96
135,3354,63.648,21.673,112.09
134.41,3359,63.462,21.306,112.35
135,3360,63.545,21.465,112.24
128.31,3377,63.322,21.017,112.55
133.82,3378,63.391,21.155,112.45
122,3385,63.206,20.74,112.71
120.77,3386,63.087,20.695,112.78
120.3,3387,63.154,20.561,112.8
127.66,3388,63.281,20.874,112.62
111.5,3392,62.992,20.232,112.99
114.43,3393,63.011,20.411,112.92
101.35,3396,62.818,19.91,113.16
107.85,3397,62.84,20.094,113.1
93.777,3399,62.626,19.575,113.34
96.757,3400,62.657,19.765,113.27
96.565,3402,62.308,19.268,113.54
93.095,3403,62.46,19.404,113.44
82.253,3405,61.841,18.426,113.86
82.889,3406,61.678,18.472,113.91
88.995,3408,61.988,18.627,113.78
97.207,3409,62.028,18.787,113.74
97.598,3410,62.061,18.947,113.69
97.485,3411,62.182,19.117,113.61
94.696,3507,67.926,13.664,110.85
94.61,3509,67.998,13.63,110.77
94.402,3522,68.111,13.469,110.63
94.44,3538,68.117,13.326,110.6
94.141,3540,68.229,13.298,110.46
93.55,3551,68.245,13.153,110.42
90.018,3553,68.368,13.134,110.26
88.602,3559,68.422,12.987,110.16
134.79,4134,63.787,21.658,112.03
134.8,4135,63.9,21.795,111.9
135,4145,63.684,21.363,112.22
134.62,4146,63.563,21.244,112.33
134.33,4147,63.706,21.205,112.28
134.89,4148,63.741,21.513,112.12
129.76,4157,63.583,21.043,112.41
128,4158,63.42,20.998,112.51
124.98,4159,63.445,20.874,112.55
