"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
140.76,1291,53.036,13.961,113.73
168.47,1323,52.917,13.781,113.7
164.64,1324,53.123,13.841,113.76
170.21,1698,52.802,13.599,113.66
171.55,1699,52.99,13.657,113.72
173.02,1700,53.161,13.704,113.78
168.87,1701,53.274,13.718,113.81
167.9,1702,53.365,13.711,113.84
165.76,1703,53.523,13.743,113.89
166.32,1716,52.711,13.414,113.63
169.84,1717,52.895,13.476,113.69
172.78,1718,53.067,13.531,113.75
169.03,1719,53.232,13.57,113.8
111.38,1804,55.236,5.2325,112.12
170.38,2231,53.38,13.597,113.84
173.26,2232,53.485,13.56,113.87
173.39,2233,53.669,13.561,113.92
141.93,2250,52.425,13.153,113.53
170.32,2251,52.636,13.226,113.6
172.62,2252,52.822,13.3,113.66
173.61,2253,53.003,13.355,113.72
172.96,2254,53.15,13.411,113.77
173.18,2255,53.303,13.43,113.82
107.65,2335,56.188,6.0974,112.62
108.14,2358,56.155,5.9698,112.56
107.99,2377,55.59,5.4064,112.23
105.14,2378,55.704,5.5902,112.34
104.85,2379,55.863,5.6404,112.38
105.09,2380,55.96,5.732,112.43
105.53,2381,56.082,5.838,112.49
110.43,2394,55.268,5.1118,112.04
109.63,2395,55.466,5.1818,112.08
108.53,2396,55.627,5.2779,112.15
108.12,2397,55.713,5.3744,112.21
106.06,2398,55.814,5.4954,112.29
105.16,2411,55.131,4.9004,111.88
107.61,2412,55.332,5.0101,111.96
107.64,2413,55.498,5.0077,111.96
108.6,2414,55.621,5.1639,112.07
107.51,2430,55.293,4.8574,111.84
173.66,2888,53.521,13.3,113.87
173.42,2889,53.475,13.432,113.86
173.48,2890,53.342,13.306,113.82
173.66,2891,53.731,13.352,113.93
146.71,2908,52.326,13.017,113.49
153.83,2909,52.432,13.013,113.53
169.24,2910,52.601,13.043,113.58
172.12,2911,52.784,13.121,113.64
173.58,2912,52.948,13.205,113.7
173.22,2913,53.14,13.22,113.76
125.75,2925,52.114,12.828,113.41
147.77,2926,52.287,12.894,113.47
107.77,2997,56.402,6.3872,112.75
108.75,2998,56.494,6.5488,112.82
108.48,3015,56.352,6.2108,112.67
109.73,3016,56.634,6.5108,112.8
110.36,3017,56.558,6.3239,112.72
113.73,3018,56.841,6.6011,112.84
113.77,3019,56.747,6.4179,112.76
118.13,3020,57.031,6.6634,112.86
117.89,3021,56.913,6.5155,112.8
124.96,3022,57.145,6.6676,112.85
121.44,3023,57.06,6.532,112.8
123.38,3024,57.233,6.6508,112.84
108.99,3032,56.319,6.0068,112.57
111.47,3033,56.496,6.1634,112.65
114.29,3034,56.714,6.2377,112.67
117.85,3035,56.899,6.3768,112.73
118.75,3036,57.07,6.4108,112.74
121.16,3037,57.209,6.5326,112.79
104.83,3049,56.039,5.6458,112.38
105.02,3050,56.217,5.8166,112.47
108.42,3051,56.403,5.8825,112.5
111.48,3052,56.537,6.0451,112.58
112.85,3053,56.704,6.0781,112.59
114.42,3054,56.823,6.1626,112.63
117.83,3055,56.979,6.2571,112.67
108.25,3069,55.8,5.3014,112.16
107.31,3070,55.949,5.4696,112.27
107.32,3071,56.126,5.5367,112.31
107.59,3072,56.241,5.6961,112.4
109.34,3073,56.393,5.7372,112.42
109.8,3074,56.499,5.8258,112.47
111.71,3075,56.634,5.9301,112.52
107.79,3085,55.72,5.1004,112.02
107.86,3086,55.895,5.2177,112.1
109.28,3087,55.99,5.3623,112.2
109.45,3088,56.133,5.4018,112.22
109.19,3089,56.226,5.4901,112.27
108.58,3090,56.338,5.5967,112.33
106.34,3102,55.295,4.7007,111.71
107.58,3103,55.448,4.8384,111.82
107.63,3104,55.755,4.9944,111.94
107.64,3105,55.613,4.9172,111.88
107.84,3106,55.906,5.0883,112
109.36,3107,56.081,5.2649,112.12
106.52,3122,55.345,4.581,111.6
107.64,3123,55.551,4.7375,111.73
173.66,3667,53.918,13.199,113.97
173.66,3668,53.827,13.26,113.95
173.66,3669,53.728,13.105,113.91
173.66,3685,53.393,13.067,113.82
173.44,3686,53.304,13.166,113.8
173.64,3687,53.156,12.992,113.74
173.66,3688,53.583,13.161,113.88
167.2,3698,52.462,12.921,113.53
167.56,3699,52.571,12.851,113.56
171,3700,52.765,12.943,113.62
173.49,3701,52.965,13.049,113.69
80.194,3715,51.91,12.731,113.33
142.8,3716,52.058,12.691,113.38
154.91,3717,52.225,12.743,113.44
166.31,3718,52.383,12.809,113.5
108.5,3748,56.511,6.8763,112.95
107.93,3751,56.658,6.8048,112.92
112.93,3753,56.896,6.8844,112.95
118.6,3755,57.144,6.9495,112.96
140.53,3757,57.384,7.0167,112.98
166.15,3759,57.628,7.0972,112.99
168.33,3760,57.802,7.2145,113.03
109.52,3777,56.599,6.657,112.86
113.66,3778,56.779,6.7101,112.88
118.46,3779,57.003,6.7815,112.9
128.8,3780,57.255,6.8159,112.91
141.03,3781,57.49,6.894,112.92
164.18,3782,57.9,7.1659,113
157.88,3783,57.73,6.9892,112.94
164.66,3784,57.912,7.0737,112.96
114.34,3797,53.889,5.4756,112.11
114.49,3798,54.032,5.531,112.17
114.93,3799,54.152,5.68,112.25
115.77,3800,54.294,5.7802,112.32
125.68,3802,57.401,6.6701,112.83
148,3803,57.616,6.8114,112.88
169.31,3804,57.981,7.0092,112.93
168.61,3805,57.811,6.9001,112.9
169.8,3806,57.978,6.8946,112.88
112.85,3817,53.738,5.4193,112.05
120.61,3818,57.226,6.4059,112.72
124.66,3819,57.449,6.5104,112.76
145.96,3820,57.615,6.6629,112.81
167.4,3821,57.783,6.7839,112.85
168.47,3822,57.945,6.8028,112.84
114.43,3832,56.869,6.057,112.57
117.62,3833,57.124,6.1753,112.61
120.29,3834,57.315,6.3309,112.68
121.52,3835,57.467,6.3709,112.69
123.98,3836,57.563,6.4537,112.72
145.41,3837,57.673,6.5491,112.75
167.34,3838,57.852,6.6877,112.8
110.11,3850,56.541,5.7343,112.41
112.61,3851,56.761,5.8552,112.46
114.65,3852,56.967,5.9856,112.52
115.32,3853,57.122,5.9713,112.5
116.99,3854,57.241,6.1122,112.57
120.17,3855,57.392,6.233,112.62
109.7,3865,56.287,5.4111,112.21
110.4,3866,56.467,5.5467,112.29
112.73,3867,56.619,5.6683,112.36
113.75,3868,56.726,5.6815,112.36
114.48,3869,56.821,5.7614,112.4
114.69,3870,56.943,5.8385,112.44
107.77,3878,55.77,4.8753,111.84
107.89,3879,55.915,4.9717,111.91
108.46,3880,56.03,5.0405,111.96
109.05,3881,56.095,5.1521,112.04
111.12,3882,56.254,5.2567,112.11
112.23,3883,56.438,5.3875,112.19
113.02,3884,56.627,5.5231,112.26
108.71,3896,55.562,4.5861,111.59
107.95,3897,55.79,4.7316,111.71
107.88,3898,55.992,4.906,111.85
173.66,4449,54.076,12.984,113.98
173.66,4462,53.692,12.895,113.88
173.66,4463,53.904,13.036,113.94
173.6,4475,53.091,12.767,113.7
173.59,4476,53.308,12.867,113.77
173.65,4477,53.527,12.968,113.84
168.94,4492,52.55,12.733,113.54
170.48,4493,52.722,12.751,113.6
173.46,4494,52.934,12.86,113.67
122.89,4507,51.756,12.577,113.26
146.11,4508,51.932,12.567,113.32
155.64,4509,52.139,12.594,113.39
165.13,4510,52.366,12.671,113.48
115.14,4526,56.207,7.0589,113
115.67,4528,56.444,7.1373,113.03
167.96,4555,57.959,7.3098,113.05
169.33,4556,58.096,7.389,113.07
113.74,4570,54.597,6.1066,112.5
169.82,4573,58.186,7.3058,113.02
168.93,4574,58.064,7.1471,112.97
169.82,4575,58.205,7.2004,112.98
113.71,4589,53.897,5.5934,112.16
113.95,4590,54.004,5.6991,112.23
112.65,4591,54.086,5.7893,112.29
112.69,4592,54.249,5.9086,112.36
113.11,4593,54.433,6.0437,112.45
169.82,4594,58.202,7.0992,112.94
169.8,4595,58.152,6.9831,112.89
169.82,4596,58.382,7.0623,112.89
104.27,4608,53.583,5.4324,112.02
108.19,4609,53.704,5.5992,112.12
112.03,4610,53.896,5.7567,112.23
168.94,4611,58.15,6.8571,112.83
169.11,4612,58.389,6.906,112.82
123.46,4625,57.648,6.3752,112.67
144.7,4626,57.837,6.541,112.73
165.17,4627,58.016,6.6878,112.77
168.17,4628,58.209,6.7487,112.77
168.28,4629,58.411,6.7968,112.76
116.5,4641,57.348,6.0685,112.53
119.47,4642,57.55,6.1978,112.58
123.17,4643,57.747,6.2944,112.61
137.32,4644,57.883,6.4291,112.66
152.68,4645,58.026,6.5777,112.72
153.86,4646,58.176,6.6197,112.71
166.62,4647,58.32,6.7016,112.73
114.81,4656,56.84,5.6512,112.33
114.55,4657,57.047,5.7632,112.38
115.51,4658,57.369,5.9697,112.47
115.11,4659,57.227,5.8971,112.44
119.26,4660,57.511,6.0455,112.5
123.13,4661,57.697,6.1574,112.54
134.74,4662,57.946,6.3157,112.59
151.59,4663,58.099,6.4818,112.65
108.89,4671,56.195,5.0837,111.98
111.14,4672,56.393,5.2274,112.07
113,4673,56.578,5.3516,112.15
113.94,4674,56.757,5.4766,112.22
115.33,4675,56.929,5.5926,112.28
115.38,4676,57.081,5.6055,112.27
114.9,4677,57.202,5.7631,112.36
106.05,4684,55.706,4.5481,111.54
107.38,4685,55.834,4.6293,111.61
107.22,4686,55.974,4.6707,111.64
107.33,4687,56.045,4.8094,111.76
108.18,4688,56.213,4.9541,111.87
110.68,4689,56.358,5.09,111.97
113.14,4690,56.538,5.1896,112.03
114.16,4691,56.722,5.3169,112.1
115.58,4692,56.895,5.4511,112.18
106.78,4704,55.882,4.5561,111.54
171.57,5258,54.043,12.757,113.94
