"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,20,59.145,11.674,132.17
71.618,1189,60.77,11.271,131.95
65.59,1190,60.581,11.298,131.99
71.117,1191,60.565,11.206,131.95
68.975,1192,60.955,11.435,131.99
67.163,1199,60.382,11.174,131.96
46.114,1200,60.208,11.191,131.98
68.739,1201,60.195,11.097,131.94
69.984,1204,60.002,11.042,131.93
71.94,1509,60.755,10.947,131.81
71.848,1510,60.597,11.005,131.86
71.812,1511,60.521,10.889,131.82
72.604,1512,61.05,11.127,131.86
72.574,1513,60.803,11.129,131.89
73.213,1514,61.271,11.335,131.91
72.32,1515,61.02,11.297,131.93
53.946,1516,61.445,11.531,131.96
31.926,1517,61.214,11.492,131.98
71.382,1521,60.353,10.805,131.79
70.78,1522,60.343,10.932,131.85
70.551,1523,60.196,10.8,131.81
70.587,1524,60.515,11.093,131.91
70.472,1528,60.038,10.712,131.78
70.519,1529,60.052,10.839,131.84
70.463,1530,59.919,10.708,131.79
71.027,1531,60.189,10.994,131.9
62.691,1534,59.847,10.858,131.86
68.105,1535,59.779,10.707,131.8
65.883,1820,61.338,10.989,131.76
69.267,1821,61.222,11.08,131.81
70.754,1822,61.108,10.974,131.78
70.683,1823,61.565,11.159,131.8
72.203,1824,61.367,11.206,131.85
72.382,1825,61.606,11.284,131.85
68.782,1826,61.864,11.665,131.95
36.79,1827,62.075,11.765,131.94
71.802,1834,60.497,10.588,131.66
71.633,1835,60.302,10.624,131.71
71.623,1836,60.228,10.522,131.66
72.412,1837,60.74,10.766,131.73
71.789,1838,60.504,10.755,131.75
72.716,1839,60.927,10.923,131.78
72.349,1840,61.546,11.409,131.9
72.561,1841,61.678,11.587,131.95
70.763,1846,60.046,10.415,131.62
70.504,1847,60.025,10.535,131.69
70.506,1848,59.906,10.425,131.64
70.514,1849,60.173,10.675,131.75
70.463,1851,59.829,10.576,131.73
70.465,1852,59.736,10.423,131.65
70.464,1854,59.494,10.301,131.6
44.725,2159,61.498,10.738,131.62
44.547,2160,61.452,10.893,131.7
44.971,2161,61.345,10.75,131.64
46.763,2162,61.626,10.901,131.68
72.81,2173,60.737,10.428,131.54
72.744,2174,60.594,10.497,131.6
72.751,2175,60.532,10.386,131.55
66.983,2176,60.989,10.609,131.61
71.138,2177,60.778,10.624,131.65
47.228,2178,61.207,10.776,131.67
70.506,2179,61.015,10.801,131.71
